Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,user-definedlabeln
38.00,56.00,28.00,706478.00,21088.00,3916.00,4112.00,3416.00,6244.00,8247.00,9760.00,1
60.00,60.00,36.00,29940.00,9589.00,3574.00,6522.00,19198.00,6729.00,7598.00,6516.00,1
64.00,48.00,89.00,678733.00,17111.00,2582.00,4977.00,12106.00,7816.00,3741.00,3719.00,1
75.00,63.00,70.00,20160.00,13913.00,15956.00,6867.00,6458.00,6275.00,7263.00,6147.00,1
78.00,70.00,48.00,130376.00,11374.00,19954.00,4341.00,17681.00,12028.00,5531.00,9093.00,1
53.00,75.00,-502.00,230640.00,204532.00,67659.00,7357.00,11873.00,6980.00,5272.00,4163.00,1
40.00,70.00,80.00,1021039.00,84618.00,6449.00,7644.00,9489.00,7573.00,3303.00,2073.00,1
35.00,44.00,65.00,360251.00,236547.00,9668.00,13477.00,8887.00,24407.00,5457.00,4716.00,1
37.00,30.00,45.00,56125.00,19071.00,2497.00,3498.00,4890.00,10093.00,2703.00,3261.00,1
50.00,38.00,7.00,3318.00,10952.00,1652.00,8899.00,3626.00,2375.00,3934.00,2523.00,1
61.00,37.00,44.00,5420.00,20222.00,2159.00,1742.00,4222.00,6639.00,1487.00,1755.00,1
74.00,50.00,11.00,2081.00,9060.00,4610.00,1176.00,9047.00,4125.00,4573.00,2888.00,1
67.00,53.00,6.00,10275.00,34488.00,3906.00,8115.00,9108.00,11723.00,5865.00,2865.00,1
67.00,38.00,36.00,7620.00,25577.00,2669.00,2052.00,1593.00,3171.00,4832.00,2938.00,1
63.00,64.00,50.00,7569.00,4681.00,3443.00,9186.00,2445.00,2921.00,4091.00,2648.00,1
66.00,64.00,21.00,6134.00,8055.00,2499.00,1443.00,2458.00,4725.00,2172.00,2255.00,1
75.00,74.00,34.00,20538.00,6839.00,4303.00,5073.00,4745.00,10748.00,5335.00,4653.00,1
80.00,77.00,34.00,3165.00,38207.00,8654.00,3127.00,5542.00,9150.00,4949.00,2899.00,1
60.00,56.00,51.00,95681.00,95717.00,6529.00,12943.00,6318.00,1971.00,1149.00,1245.00,1
54.00,63.00,-1.00,23374.00,14004.00,11791.00,7055.00,12307.00,9505.00,1761.00,3592.00,1
48.00,70.00,69.00,9216.00,3104.00,2519.00,11425.00,6420.00,5089.00,6082.00,4331.00,1
50.00,84.00,-21.00,24511.00,8412.00,14120.00,3817.00,7470.00,5707.00,3212.00,3908.00,1
75.00,100.00,45.00,3434.00,3925.00,6236.00,3228.00,6484.00,3907.00,4750.00,4038.00,1
67.00,97.00,52.00,20003.00,27065.00,6711.00,9064.00,3784.00,5011.00,7524.00,5682.00,1
74.00,91.00,24.00,7896.00,3739.00,2515.00,3890.00,3293.00,4655.00,1042.00,2915.00,1
75.00,84.00,42.00,7759.00,8153.00,2759.00,4708.00,3089.00,4303.00,4441.00,2983.00,1
75.00,80.00,34.00,3660.00,3410.00,1971.00,2297.00,5227.00,2122.00,3329.00,3488.00,1
81.00,83.00,9.00,9315.00,9878.00,6058.00,10307.00,11586.00,6454.00,3502.00,3421.00,1
57.00,63.00,12.00,439893.00,127874.00,6736.00,6565.00,9546.00,5140.00,11899.00,3558.00,1
56.00,56.00,77.00,6429.00,8574.00,1537.00,2895.00,6767.00,2989.00,3136.00,3681.00,1
41.00,57.00,-10.00,550403.00,518470.00,231642.00,27486.00,23153.00,44914.00,19189.00,26406.00,1
41.00,60.00,89.00,17949.00,7111.00,10300.00,7376.00,10152.00,6050.00,4180.00,3909.00,1
60.00,75.00,67.00,3728.00,6798.00,1941.00,2619.00,3742.00,3566.00,1600.00,2365.00,1
14.00,41.00,81.00,903929.00,79511.00,27596.00,12543.00,6315.00,3979.00,5544.00,3897.00,1
10.00,35.00,5.00,359663.00,650878.00,19492.00,50583.00,13178.00,27204.00,29211.00,14855.00,1
7.00,40.00,710.00,1542598.00,161924.00,65456.00,20546.00,36513.00,8932.00,35517.00,10338.00,1
10.00,37.00,-354.00,110967.00,16060.00,3329.00,3549.00,2919.00,2345.00,2187.00,651.00,1
14.00,27.00,-214.00,755567.00,303917.00,23101.00,42016.00,18040.00,20917.00,11275.00,10403.00,1
23.00,37.00,16.00,421968.00,74469.00,18819.00,8123.00,19008.00,10402.00,4499.00,4064.00,1
34.00,43.00,11.00,201027.00,89133.00,17872.00,100589.00,21098.00,23882.00,13229.00,9614.00,1
26.00,40.00,100.00,256313.00,563545.00,92450.00,37256.00,38193.00,33314.00,19236.00,7358.00,1
40.00,51.00,74.00,127298.00,13956.00,27050.00,8866.00,31956.00,13904.00,39144.00,6889.00,1
41.00,51.00,23.00,1289405.00,242405.00,60320.00,36824.00,30931.00,44339.00,13981.00,14470.00,1
51.00,47.00,109.00,33405.00,48619.00,44431.00,7529.00,24359.00,33499.00,15970.00,17646.00,1
44.00,50.00,269.00,730882.00,152878.00,31950.00,15185.00,14289.00,5433.00,10185.00,9087.00,1
30.00,34.00,-58.00,634865.00,63980.00,3264.00,5591.00,2636.00,3611.00,6328.00,4468.00,1
26.00,21.00,37.00,235100.00,27975.00,1280.00,1573.00,799.00,2056.00,1154.00,701.00,1
16.00,21.00,114.00,1396020.00,224360.00,127336.00,30363.00,21933.00,37989.00,8655.00,18824.00,1
21.00,23.00,45.00,230186.00,86618.00,22658.00,5150.00,5113.00,5189.00,1306.00,3287.00,1
24.00,37.00,48.00,271197.00,118023.00,45120.00,25687.00,13271.00,14802.00,18854.00,8837.00,1
41.00,56.00,41.00,11609.00,3334.00,9351.00,6788.00,12771.00,9962.00,2986.00,2287.00,1
35.00,41.00,40.00,391012.00,337901.00,34926.00,9265.00,20896.00,17576.00,1710.00,3385.00,1
41.00,41.00,27.00,13064.00,24571.00,6887.00,5414.00,12124.00,4382.00,6006.00,2767.00,1
44.00,34.00,34.00,337285.00,39017.00,5373.00,4186.00,4827.00,4625.00,2308.00,733.00,1
26.00,7.00,-51.00,924079.00,185561.00,3406.00,5125.00,10982.00,12217.00,12094.00,13246.00,1
29.00,23.00,34.00,211892.00,51869.00,31728.00,5757.00,7320.00,6454.00,5977.00,2507.00,1
37.00,17.00,76.00,1964577.00,313204.00,56834.00,20616.00,95236.00,86877.00,12461.00,7061.00,1
37.00,30.00,5.00,50446.00,12914.00,10830.00,5040.00,2142.00,3532.00,3912.00,3578.00,1
35.00,43.00,28.00,348858.00,434711.00,61155.00,2471.00,20636.00,25301.00,4508.00,2414.00,1
34.00,54.00,98.00,813357.00,28532.00,22254.00,52843.00,6970.00,7029.00,14892.00,7699.00,1
20.00,64.00,88.00,681133.00,81284.00,6082.00,45771.00,41117.00,6573.00,12003.00,56061.00,1
20.00,54.00,115.00,86433.00,130019.00,18801.00,27914.00,8825.00,20295.00,12493.00,10712.00,1
23.00,61.00,17.00,754387.00,74105.00,12947.00,9669.00,9141.00,6200.00,2672.00,13962.00,1
26.00,50.00,-11.00,757895.00,127986.00,79264.00,19066.00,36782.00,21962.00,34072.00,13112.00,1
21.00,47.00,35.00,1955925.00,298031.00,84965.00,17243.00,10434.00,10102.00,32157.00,19271.00,1
20.00,41.00,-505.00,977885.00,460479.00,43476.00,63518.00,119985.00,58649.00,33441.00,40086.00,1
16.00,43.00,72.00,1189291.00,137177.00,21363.00,31364.00,5947.00,8154.00,3045.00,1768.00,1
17.00,35.00,-538.00,546127.00,307489.00,29097.00,49476.00,28769.00,38240.00,13092.00,10943.00,1
24.00,35.00,-9.00,454279.00,14774.00,3504.00,2755.00,3117.00,1285.00,1495.00,1251.00,1
43.00,37.00,43.00,3329.00,5903.00,5976.00,648.00,9103.00,12202.00,11355.00,20340.00,1
63.00,37.00,32.00,10554.00,19555.00,8982.00,6040.00,12726.00,16632.00,6592.00,11614.00,1
83.00,27.00,28.00,3150.00,7361.00,1931.00,1400.00,13425.00,13011.00,7807.00,9661.00,1
78.00,20.00,84.00,183190.00,57515.00,3740.00,5399.00,3003.00,2393.00,3123.00,3281.00,1
77.00,27.00,29.00,29296.00,12034.00,2533.00,23339.00,14958.00,25106.00,12798.00,20442.00,1
83.00,26.00,528.00,13856.00,9022.00,2721.00,11136.00,16359.00,28862.00,5213.00,17398.00,1
56.00,40.00,84.00,393480.00,109523.00,22150.00,26914.00,3200.00,6888.00,5163.00,9721.00,1
66.00,50.00,120.00,1206705.00,287920.00,101402.00,24029.00,27016.00,41314.00,20365.00,10126.00,1
41.00,35.00,-1.00,188504.00,29509.00,3611.00,3310.00,7174.00,21597.00,15933.00,13928.00,1
70.00,27.00,24.00,2220.00,7165.00,4419.00,4792.00,7674.00,28384.00,16400.00,12564.00,1
81.00,37.00,37.00,3132.00,6187.00,4883.00,11410.00,6678.00,7421.00,8489.00,8056.00,1
88.00,51.00,55.00,3660.00,6210.00,12696.00,4179.00,6867.00,3897.00,11801.00,7317.00,1
91.00,66.00,17.00,15228.00,1731.00,4355.00,5603.00,5882.00,9227.00,6256.00,8985.00,1
81.00,64.00,64.00,4293.00,11862.00,1135.00,2397.00,3064.00,7227.00,11568.00,8406.00,1
84.00,57.00,52.00,7674.00,6002.00,1777.00,8612.00,9845.00,10639.00,9937.00,10165.00,1
90.00,35.00,-133.00,444310.00,149920.00,20930.00,6020.00,32038.00,52746.00,13717.00,10295.00,1
64.00,34.00,61.00,386756.00,85376.00,20813.00,23715.00,9919.00,5807.00,6764.00,15505.00,1
53.00,35.00,115.00,285157.00,299869.00,45611.00,22466.00,38969.00,45911.00,33859.00,5688.00,1
40.00,27.00,68.00,108076.00,258365.00,45899.00,22219.00,13939.00,31773.00,9148.00,6829.00,1
40.00,38.00,13.00,5510.00,28777.00,3213.00,11915.00,8640.00,12117.00,7378.00,5389.00,1
56.00,44.00,34.00,4880.00,5935.00,10653.00,6766.00,5182.00,7809.00,3107.00,4349.00,1
61.00,56.00,-9.00,22215.00,18009.00,7579.00,12780.00,10496.00,7778.00,4229.00,1369.00,1
61.00,63.00,19.00,18185.00,14114.00,5038.00,5200.00,3613.00,2354.00,3098.00,2970.00,1
61.00,66.00,33.00,4036.00,7480.00,2510.00,1706.00,1588.00,3587.00,720.00,857.00,1
50.00,69.00,-284.00,108967.00,7008.00,10572.00,4047.00,2534.00,1549.00,534.00,2075.00,1
30.00,67.00,22.00,2130068.00,235085.00,89471.00,24032.00,15219.00,7945.00,13677.00,3095.00,1
38.00,64.00,9.00,5444.00,9751.00,2127.00,4308.00,3061.00,3687.00,2578.00,2038.00,1
26.00,57.00,21.00,456344.00,286511.00,44357.00,16254.00,25424.00,27467.00,9168.00,5224.00,1
29.00,54.00,82.00,10216.00,3196.00,5959.00,11716.00,11646.00,2592.00,2791.00,1884.00,1
50.00,57.00,50.00,6387.00,16973.00,3556.00,13681.00,3038.00,8574.00,5651.00,3430.00,1
48.00,64.00,13.00,5070.00,7183.00,1907.00,5495.00,1189.00,2969.00,1309.00,1649.00,1
56.00,81.00,-1.00,3637.00,3748.00,1933.00,7195.00,2314.00,2312.00,2450.00,1807.00,1
57.00,81.00,26.00,1276.00,1621.00,3872.00,2558.00,3406.00,1469.00,1337.00,1357.00,1
56.00,69.00,39.00,279322.00,11147.00,146.00,3027.00,1712.00,2370.00,1488.00,768.00,1
44.00,75.00,-26.00,690914.00,29726.00,24909.00,11224.00,1362.00,3340.00,3555.00,2299.00,1
38.00,57.00,91.00,418017.00,241659.00,31107.00,25941.00,35808.00,28385.00,7011.00,19029.00,1
29.00,50.00,92.00,193113.00,34631.00,14492.00,2778.00,2475.00,3617.00,2210.00,2617.00,1
40.00,57.00,36.00,25356.00,11612.00,2378.00,11149.00,3113.00,13431.00,21825.00,6422.00,1
43.00,34.00,39.00,206202.00,227655.00,7445.00,13625.00,12119.00,16508.00,7186.00,6949.00,1
50.00,48.00,54.00,7802.00,5293.00,7058.00,11370.00,10649.00,5237.00,2521.00,2286.00,1
63.00,51.00,760.00,5391.00,17083.00,10764.00,13391.00,4662.00,13852.00,10841.00,2696.00,1
44.00,47.00,52.00,598543.00,55430.00,12324.00,7597.00,4982.00,4509.00,1323.00,700.00,1
35.00,47.00,33.00,307646.00,350309.00,9456.00,25458.00,36059.00,7339.00,14074.00,8846.00,1
35.00,41.00,-108.00,517778.00,113800.00,91379.00,14820.00,49350.00,49503.00,4893.00,8844.00,1
23.00,43.00,88.00,117628.00,51703.00,34228.00,25568.00,18999.00,9876.00,3796.00,3630.00,1
27.00,48.00,39.00,1137576.00,119120.00,45053.00,18954.00,18948.00,19902.00,23494.00,23171.00,1
35.00,50.00,34.00,303664.00,147605.00,17158.00,2513.00,11311.00,7691.00,9275.00,9090.00,1
23.00,43.00,92.00,399823.00,411026.00,66105.00,74447.00,53850.00,30596.00,51496.00,26718.00,1
17.00,40.00,-222.00,725037.00,274577.00,77902.00,78155.00,27100.00,22486.00,49399.00,21810.00,1
16.00,43.00,-309.00,1242800.00,149729.00,97520.00,20169.00,15380.00,26010.00,9851.00,10041.00,1
20.00,50.00,-104.00,1980883.00,721095.00,120215.00,47193.00,37220.00,63825.00,22214.00,10755.00,1
24.00,50.00,-220.00,1466073.00,458835.00,85220.00,50239.00,32237.00,54729.00,14310.00,16125.00,1
35.00,37.00,-113.00,1041689.00,247746.00,22413.00,26968.00,41848.00,48212.00,31803.00,18783.00,1
43.00,20.00,138.00,1304653.00,121112.00,13329.00,7884.00,20602.00,39533.00,20988.00,18226.00,1
44.00,38.00,-215.00,63982.00,20184.00,41665.00,7198.00,9413.00,6164.00,5398.00,3636.00,1
50.00,44.00,41.00,477050.00,28247.00,9455.00,11372.00,10434.00,7369.00,3077.00,4069.00,1
44.00,44.00,17.00,1416891.00,229323.00,8315.00,36786.00,19387.00,21944.00,16689.00,15877.00,1
43.00,47.00,-27.00,414489.00,101135.00,5192.00,13767.00,24977.00,26770.00,21188.00,19032.00,1
43.00,17.00,-653.00,468403.00,360067.00,28896.00,4378.00,39670.00,32925.00,28735.00,14213.00,1
30.00,13.00,140.00,628188.00,56235.00,12999.00,4208.00,3143.00,3095.00,2744.00,1198.00,1
38.00,16.00,108.00,1987946.00,114802.00,22440.00,29464.00,69345.00,29428.00,10567.00,16662.00,1
38.00,17.00,86.00,107108.00,67071.00,4428.00,10916.00,4412.00,18709.00,24169.00,13070.00,1
27.00,27.00,-83.00,292869.00,165719.00,26607.00,9031.00,12846.00,4223.00,2227.00,3303.00,1
41.00,29.00,24.00,71307.00,27333.00,3669.00,14189.00,15021.00,11712.00,17717.00,14398.00,1
34.00,21.00,-14.00,406025.00,274420.00,18910.00,13381.00,11948.00,19888.00,15639.00,3943.00,1
21.00,29.00,-13.00,255790.00,210126.00,65683.00,31459.00,19476.00,16262.00,6391.00,5300.00,1
37.00,38.00,173.00,380357.00,83677.00,13583.00,59040.00,50340.00,24055.00,12193.00,10365.00,1
29.00,40.00,7.00,2125616.00,164210.00,4860.00,72460.00,15956.00,24014.00,9505.00,3979.00,1
38.00,56.00,18.00,115232.00,30819.00,17674.00,7893.00,7382.00,10680.00,5792.00,6165.00,1
40.00,57.00,35.00,688016.00,62743.00,1095.00,27813.00,7903.00,5137.00,4307.00,6031.00,1
34.00,50.00,98.00,1705136.00,223668.00,22801.00,56289.00,100678.00,22615.00,51598.00,16607.00,1
29.00,47.00,10.00,74359.00,32341.00,7573.00,2812.00,4817.00,2543.00,3841.00,2240.00,1
16.00,41.00,64.00,276181.00,191893.00,60033.00,18188.00,24916.00,12646.00,10806.00,18309.00,1
20.00,37.00,54.00,692309.00,65608.00,15674.00,2616.00,7253.00,7077.00,4108.00,2427.00,1
26.00,43.00,33.00,490597.00,41412.00,14028.00,21628.00,19905.00,12515.00,7811.00,7301.00,1
35.00,48.00,25.00,77765.00,54971.00,18989.00,15547.00,15293.00,14588.00,10106.00,8630.00,1
44.00,63.00,5.00,17837.00,16079.00,26301.00,34047.00,11752.00,10529.00,6195.00,5424.00,1
53.00,64.00,7.00,27447.00,27651.00,3548.00,6173.00,3707.00,8811.00,5101.00,4025.00,1
44.00,64.00,69.00,237718.00,114482.00,29982.00,45061.00,23790.00,9966.00,11003.00,9096.00,1
44.00,66.00,21.00,54091.00,16971.00,9273.00,2445.00,3660.00,5544.00,10777.00,2008.00,1
8.00,66.00,21.00,170384.00,5473.00,2785.00,1386.00,933.00,183.00,428.00,206.00,0
1.00,56.00,133.00,28191.00,20528.00,654.00,1193.00,1406.00,431.00,226.00,259.00,0
4.00,50.00,54.00,2841806.00,295881.00,153969.00,2818.00,27550.00,36708.00,19520.00,7463.00,0
8.00,40.00,-322.00,167639.00,62853.00,9369.00,6431.00,7218.00,6329.00,3730.00,2532.00,0
20.00,20.00,8.00,1163759.00,172955.00,11741.00,25081.00,10983.00,13953.00,4421.00,1602.00,0
16.00,41.00,1.00,244447.00,68211.00,27401.00,4678.00,5745.00,1600.00,1706.00,1651.00,0
16.00,57.00,-113.00,2453517.00,258650.00,140782.00,639718.00,151893.00,78349.00,74704.00,40877.00,0
7.00,67.00,28.00,799390.00,427463.00,83897.00,145142.00,50788.00,16807.00,11748.00,17734.00,0
1.00,83.00,-8.00,1784732.00,1207305.00,439262.00,329826.00,88964.00,39011.00,142849.00,117808.00,0
8.00,77.00,231.00,728300.00,493735.00,67473.00,90503.00,57378.00,52273.00,25280.00,28261.00,0
23.00,67.00,137.00,1346810.00,45984.00,96598.00,85783.00,107511.00,77329.00,55021.00,63659.00,0
29.00,67.00,-214.00,1232801.00,331021.00,53906.00,140484.00,80132.00,30057.00,37369.00,94803.00,0
41.00,47.00,-30.00,731786.00,79897.00,8765.00,3902.00,11219.00,7655.00,18713.00,8192.00,0
38.00,51.00,72.00,126382.00,43718.00,8821.00,6732.00,6134.00,3209.00,2669.00,3612.00,0
17.00,27.00,278.00,2837236.00,863346.00,58251.00,98796.00,72745.00,41601.00,57620.00,36831.00,0
27.00,21.00,-4.00,278522.00,52366.00,11322.00,8695.00,10930.00,11910.00,6730.00,7422.00,0
29.00,29.00,74.00,1849318.00,88734.00,19115.00,6093.00,9876.00,9436.00,9841.00,2711.00,0
37.00,23.00,45.00,979479.00,296307.00,54946.00,26396.00,58564.00,38886.00,33578.00,10435.00,0
44.00,41.00,-157.00,1734492.00,79174.00,40133.00,32375.00,25295.00,16862.00,13980.00,7400.00,0
29.00,44.00,132.00,171600.00,30210.00,7561.00,3080.00,852.00,1030.00,1061.00,1156.00,0
30.00,40.00,-531.00,200549.00,306027.00,50342.00,6129.00,4142.00,35513.00,16699.00,10483.00,0
37.00,47.00,120.00,1192965.00,100313.00,17904.00,24680.00,6257.00,30464.00,9341.00,6808.00,0
34.00,48.00,694.00,40030.00,15006.00,7530.00,7465.00,3737.00,1951.00,1126.00,1509.00,0
29.00,48.00,13.00,524596.00,57357.00,9846.00,9073.00,4207.00,1607.00,3809.00,1043.00,0
16.00,48.00,168.00,1642017.00,1198336.00,158331.00,43192.00,75817.00,32607.00,37888.00,28197.00,0
10.00,44.00,229.00,964695.00,194104.00,21462.00,44845.00,59189.00,22941.00,27279.00,10447.00,0
10.00,43.00,-17.00,1557395.00,173582.00,125806.00,51422.00,49727.00,26570.00,39725.00,12382.00,0
34.00,51.00,-8.00,233947.00,46536.00,7576.00,39107.00,16917.00,26780.00,11704.00,21657.00,0
48.00,54.00,88.00,327539.00,118270.00,14559.00,19548.00,27745.00,18673.00,17990.00,17715.00,0
53.00,63.00,9.00,674915.00,125153.00,66200.00,12248.00,18595.00,31573.00,12035.00,4250.00,0
78.00,51.00,38.00,6360.00,12761.00,3139.00,14662.00,11918.00,33559.00,4485.00,15302.00,0
67.00,27.00,16.00,209181.00,46016.00,1999.00,2947.00,1525.00,4489.00,3507.00,1411.00,0
60.00,34.00,137.00,178283.00,43141.00,2398.00,12274.00,3636.00,2823.00,2069.00,1773.00,0
50.00,20.00,-60.00,59710.00,80141.00,10904.00,4524.00,8840.00,5410.00,4367.00,4606.00,0
17.00,8.00,153.00,1200125.00,624297.00,40714.00,60283.00,138946.00,24604.00,25057.00,15163.00,0
24.00,27.00,49.00,229696.00,27644.00,12343.00,9754.00,13263.00,10007.00,3766.00,2594.00,0
29.00,29.00,148.00,117113.00,128578.00,16274.00,33638.00,17634.00,13774.00,16709.00,14838.00,0
37.00,41.00,39.00,97392.00,28019.00,9530.00,8487.00,10145.00,5558.00,6777.00,2500.00,0
40.00,70.00,40.00,3726189.00,165927.00,67943.00,134642.00,22208.00,18733.00,33095.00,18296.00,0
30.00,66.00,256.00,1544448.00,1106049.00,328234.00,36946.00,59018.00,101139.00,127629.00,51263.00,0
26.00,61.00,-114.00,2091442.00,166652.00,14388.00,26544.00,19712.00,9528.00,15742.00,10706.00,0
24.00,40.00,-18.00,927193.00,447425.00,7369.00,52595.00,95773.00,55327.00,25865.00,55512.00,0
37.00,35.00,-121.00,1567559.00,253607.00,201761.00,74272.00,49723.00,101148.00,62097.00,28921.00,0
37.00,40.00,-429.00,184343.00,106887.00,25786.00,27477.00,9674.00,11168.00,13760.00,13013.00,0
47.00,51.00,4.00,512605.00,15574.00,7734.00,5526.00,5806.00,4626.00,7442.00,4397.00,0
47.00,61.00,-93.00,312281.00,99596.00,15040.00,9725.00,10451.00,13117.00,9325.00,5586.00,0
40.00,51.00,102.00,2094655.00,532827.00,185948.00,53519.00,69112.00,59758.00,21166.00,21753.00,0
38.00,47.00,-56.00,741403.00,210991.00,59240.00,18758.00,19186.00,16178.00,5323.00,3620.00,0
34.00,34.00,379.00,1338620.00,643186.00,94536.00,53221.00,65406.00,81342.00,25588.00,20853.00,0
34.00,37.00,80.00,1482518.00,167654.00,22436.00,20471.00,9158.00,19359.00,3498.00,4020.00,0
44.00,30.00,64.00,651194.00,74142.00,4010.00,35372.00,45290.00,34671.00,35368.00,34802.00,0
40.00,24.00,89.00,111840.00,89551.00,12483.00,7863.00,11018.00,3536.00,4880.00,1476.00,0
37.00,43.00,-35.00,1078002.00,171415.00,72750.00,65124.00,28770.00,20723.00,6325.00,10309.00,0
30.00,40.00,-12.00,477195.00,81435.00,6768.00,9717.00,5294.00,4421.00,2396.00,3150.00,0
29.00,38.00,27.00,43065.00,15523.00,2930.00,2765.00,6428.00,6006.00,1326.00,711.00,0
43.00,51.00,33.00,1080956.00,28321.00,26855.00,11519.00,33640.00,11764.00,12207.00,8467.00,0
61.00,38.00,-17.00,7966.00,20161.00,2069.00,9471.00,11770.00,15931.00,10210.00,4623.00,0
74.00,64.00,-11.00,4853.00,8362.00,7041.00,11394.00,2743.00,4664.00,7944.00,13851.00,0
80.00,78.00,38.00,3279.00,9523.00,15429.00,4223.00,9765.00,15466.00,5450.00,4320.00,0
74.00,84.00,23.00,77177.00,61567.00,33752.00,33014.00,18071.00,10291.00,21362.00,16964.00,0
60.00,77.00,17.00,106077.00,17270.00,2224.00,1129.00,3218.00,2351.00,2447.00,3030.00,0
56.00,63.00,88.00,96113.00,124892.00,71567.00,16865.00,37965.00,25366.00,10425.00,11343.00,0
44.00,70.00,263.00,103006.00,35967.00,54326.00,48241.00,42840.00,21143.00,14824.00,12553.00,0
34.00,47.00,52.00,653980.00,549487.00,38577.00,41606.00,9291.00,12770.00,11178.00,8042.00,0
21.00,70.00,116.00,754087.00,120126.00,25922.00,135294.00,43626.00,9717.00,12376.00,24012.00,0
11.00,66.00,67.00,86914.00,108466.00,19035.00,15837.00,3458.00,5929.00,5573.00,2430.00,0
21.00,50.00,73.00,140695.00,6498.00,4322.00,1700.00,5024.00,5172.00,6721.00,2747.00,0
38.00,83.00,27.00,16789.00,7975.00,12090.00,17616.00,5559.00,5462.00,10675.00,8685.00,0
56.00,75.00,-19.00,2298.00,16986.00,10798.00,2984.00,2165.00,8290.00,9681.00,4573.00,0
77.00,88.00,-9.00,8433.00,7784.00,3942.00,11220.00,2752.00,8695.00,5682.00,5953.00,0
66.00,100.00,52.00,12326.00,11639.00,16397.00,5958.00,2011.00,4188.00,5185.00,5124.00,0
77.00,91.00,-3.00,260128.00,13449.00,9421.00,9907.00,11986.00,15063.00,7099.00,7904.00,0
84.00,88.00,25.00,6344.00,5926.00,2561.00,6582.00,9044.00,9423.00,4306.00,2868.00,0
81.00,78.00,29.00,58768.00,14732.00,6421.00,3149.00,3969.00,6878.00,7729.00,5533.00,0
94.00,63.00,72.00,1870.00,3658.00,2225.00,4548.00,6278.00,5705.00,2153.00,2191.00,0
93.00,67.00,-3.00,3538.00,10327.00,8197.00,7533.00,4968.00,8762.00,4305.00,2735.00,0
88.00,63.00,36.00,7636.00,10561.00,2686.00,3438.00,5657.00,6281.00,5478.00,2769.00,0
80.00,67.00,40.00,5912.00,23606.00,14223.00,5925.00,6966.00,4706.00,3218.00,13204.00,0
77.00,51.00,28.00,8017.00,21052.00,6428.00,6274.00,7521.00,8145.00,5462.00,5472.00,0
67.00,66.00,48.00,5862.00,13506.00,7770.00,16921.00,11848.00,5297.00,4324.00,1738.00,0
80.00,69.00,91.00,6967.00,5431.00,4028.00,8408.00,4462.00,6915.00,4072.00,1694.00,0
70.00,88.00,151.00,17718.00,10411.00,7801.00,12190.00,5653.00,7761.00,6177.00,3208.00,0
57.00,75.00,-117.00,341780.00,37868.00,4192.00,1816.00,1441.00,2058.00,271.00,299.00,0
50.00,48.00,27.00,288482.00,114514.00,650.00,19342.00,11373.00,7470.00,4928.00,5927.00,0
53.00,47.00,35.00,4898.00,2125.00,5067.00,6518.00,6659.00,8104.00,2332.00,2198.00,0
50.00,48.00,69.00,17658.00,10131.00,4952.00,10692.00,1841.00,4480.00,2954.00,1779.00,0
66.00,50.00,57.00,1876.00,17185.00,1058.00,2812.00,2334.00,7253.00,7985.00,2753.00,0
81.00,69.00,37.00,6081.00,14629.00,11949.00,4333.00,6401.00,8494.00,2544.00,4425.00,0
74.00,54.00,68.00,12897.00,26402.00,5761.00,3642.00,7797.00,7558.00,2766.00,10041.00,0
78.00,38.00,69.00,13002.00,11537.00,1235.00,4672.00,3463.00,6575.00,3345.00,6418.00,0
78.00,61.00,38.00,5635.00,6785.00,3058.00,14840.00,5058.00,9087.00,2351.00,2360.00,0
57.00,38.00,41.00,291443.00,356537.00,25551.00,14787.00,7437.00,10629.00,3588.00,3125.00,0
60.00,54.00,0.00,7251.00,7800.00,3041.00,9890.00,2779.00,5814.00,4955.00,2892.00,0
63.00,69.00,80.00,6227.00,3127.00,10027.00,3598.00,3353.00,9764.00,2111.00,4198.00,0
61.00,66.00,43.00,16566.00,6516.00,2028.00,8548.00,4339.00,4910.00,3040.00,4686.00,0
87.00,96.00,-8.00,5018.00,4738.00,7738.00,11974.00,9112.00,9373.00,3790.00,3495.00,0
80.00,88.00,26.00,4599.00,11725.00,1520.00,7916.00,9120.00,2809.00,3068.00,1828.00,0
80.00,83.00,98.00,1493.00,4689.00,844.00,8466.00,3548.00,8065.00,3854.00,7075.00,0
81.00,83.00,-21.00,4462.00,7252.00,5652.00,6089.00,3187.00,6404.00,10258.00,1038.00,0
70.00,67.00,-660.00,106507.00,149518.00,10978.00,45219.00,31570.00,28303.00,10869.00,3899.00,0
63.00,61.00,16.00,596824.00,38494.00,7715.00,3145.00,3714.00,2716.00,1021.00,758.00,0
61.00,51.00,55.00,3721.00,12897.00,3297.00,5159.00,5568.00,10989.00,2064.00,4951.00,0
61.00,50.00,-21.00,14694.00,14353.00,3312.00,13015.00,4457.00,8776.00,3147.00,3132.00,0
78.00,53.00,-7.00,9362.00,6168.00,2883.00,4802.00,6321.00,11748.00,5638.00,2161.00,0
96.00,69.00,-5.00,5004.00,8224.00,10711.00,8750.00,5990.00,11836.00,3690.00,4180.00,0
90.00,78.00,71.00,8035.00,10303.00,7722.00,4434.00,4878.00,5957.00,4625.00,2897.00,0
77.00,64.00,16.00,1296075.00,267631.00,43476.00,26419.00,9033.00,19718.00,6442.00,9987.00,0
